EPREUVE,FORMAT_EPREUVE,RANG,NOM_PRENOM,ANNEE_NAISSANCE,NATIONALITE,GENRE,STRUCTURE,TEMPS,DATE_FR,POINTS_FFN,POINTS_FINA
100 Nage Libre Dames,Finale A,6,MORICELLY Clara,2006,FRA,F,C.N OZOIR-LA-FERRIERE,01:04.62,23/01/2022,955,121
100 Nage Libre Dames,Finale A,6,PORTEMAN Heloïse,2003,FRA,F,P.V GRANDVILLIERS NATATION,01:02.48,23/01/2022,1025,128
100 Nage Libre Dames,Finale A,7,LECHEVALIER Jeanne,2009,FRA,F,AMIENS METROPOLE NAT.,01:03.12,23/01/2022,1003,126
100 Nage Libre Dames,Finale A,7,HASANI Lorita,2007,FRA,F,AAS SARCELLES NATATION 95,01:05.01,23/01/2022,942,119
100 Nage Libre Dames,Finale A,8,LE BAILLY Julie,2007,FRA,F,AMIENS METROPOLE NAT.,01:05.94,23/01/2022,913,116
100 Nage Libre Dames,Finale A,8,DUROT Lea,2003,FRA,F,CN COURRIÈRES,01:03.39,23/01/2022,995,125
100 Nage Libre Dames,Finale B,1,MINCK CECONI Alizéa,1999,FRA,F,STADE DE REIMS NATATION,01:04.80,23/01/2022,949,120
100 Nage Libre Dames,Finale B,2,LEVEAUX Enola,2002,FRA,F,BEAUVAISIS AQUATIC CLUB,01:05.58,23/01/2022,924,117
100 Nage Libre Dames,Finale B,3,FORE Valentine,2007,FRA,F,AMIENS METROPOLE NAT.,01:05.93,23/01/2022,913,116
100 Nage Libre Dames,Finale B,4,FOURNIER DEWILDE Maud,2008,FRA,F,P.V GRANDVILLIERS NATATION,01:08.13,23/01/2022,845,109
100 Nage Libre Dames,Séries,1,TEREBO Emma,1998,FRA,F,AMIENS METROPOLE NAT.,00:57.57,23/01/2022,1195,725
100 Nage Libre Dames,Séries,2,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,00:57.96,23/01/2022,1181,710
100 Nage Libre Dames,Séries,2,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,00:57.96,23/01/2022,1181,710
100 Nage Libre Dames,Séries,3,PRUVOT Mathilde,2005,FRA,F,AMIENS METROPOLE NAT.,00:58.48,23/01/2022,1162,691
100 Nage Libre Dames,Séries,4,BURGY Manon,2005,FRA,F,AMIENS METROPOLE NAT.,00:58.58,23/01/2022,1159,688
100 Nage Libre Dames,Séries,4,BURGY Manon,2005,FRA,F,AMIENS METROPOLE NAT.,00:58.58,23/01/2022,1159,688
100 Nage Libre Dames,Séries,5,CLAUDIC-TCHA Maëllys,2006,FRA,F,ANGERS NATATION,01:00.33,23/01/2022,1098,137
100 Nage Libre Dames,Séries,5,CLAUDIC-TCHA Maëllys,2006,FRA,F,ANGERS NATATION,01:00.33,23/01/2022,1098,137
100 Nage Libre Dames,Séries,6,DONVAL Eléane,2004,FRA,F,ANGERS NATATION,01:00.75,23/01/2022,1083,135
100 Nage Libre Dames,Séries,7,PORTEMAN Heloïse,2003,FRA,F,P.V GRANDVILLIERS NATATION,01:02.05,23/01/2022,1039,130
100 Nage Libre Dames,Séries,8,AIGOUY Léa,2004,FRA,F,CANETON CLUB DE BEAUMONT,01:02.55,23/01/2022,1022,128
100 Nage Libre Dames,Séries,9,DUROT Lea,2003,FRA,F,CN COURRIÈRES,01:03.64,23/01/2022,986,124
100 Nage Libre Dames,Séries,10,ETIENNE Alice,2007,FRA,F,ANGERS NATATION,01:04.01,23/01/2022,974,123
100 Nage Libre Dames,Séries,11,LECHEVALIER Jeanne,2009,FRA,F,AMIENS METROPOLE NAT.,01:04.05,23/01/2022,973,123
100 Nage Libre Dames,Séries,12,HOSSI BURNIER Noémie,2006,FRA,F,AAS SARCELLES NATATION 95,01:04.11,23/01/2022,971,123
100 Nage Libre Dames,Séries,13,BIENFAIT Victorine,2007,FRA,F,RACING CLUB ARRAS,01:04.20,23/01/2022,968,122
100 Nage Libre Dames,Séries,14,DENIS SMETT Valentine,2006,FRA,F,STADE DE REIMS NATATION,01:04.45,23/01/2022,960,121
100 Nage Libre Dames,Séries,15,MORICELLY Clara,2006,FRA,F,C.N OZOIR-LA-FERRIERE,01:04.53,23/01/2022,957,121
100 Nage Libre Dames,Séries,16,MINCK CECONI Alizéa,1999,FRA,F,STADE DE REIMS NATATION,01:04.69,23/01/2022,952,121
100 Nage Libre Dames,Séries,17,LE BAILLY Julie,2007,FRA,F,AMIENS METROPOLE NAT.,01:04.77,23/01/2022,950,120
100 Nage Libre Dames,Séries,18,DUSSART Priscillia,2005,FRA,F,PELICAN CLUB DE VALENCIENNES,01:04.84,23/01/2022,948,120
100 Nage Libre Dames,Séries,19,HASANI Lorita,2007,FRA,F,AAS SARCELLES NATATION 95,01:05.16,23/01/2022,937,119
100 Nage Libre Dames,Séries,20,LEROY Maéva,2003,FRA,F,CN VOUZIERS,01:05.25,23/01/2022,934,119
100 Nage Libre Dames,Séries,20,BERTRAND Laureane,2002,FRA,F,CN VOUZIERS,01:05.25,23/01/2022,934,119
100 Nage Libre Dames,Séries,22,LEVEAUX Enola,2002,FRA,F,BEAUVAISIS AQUATIC CLUB,01:05.57,23/01/2022,924,118
100 Nage Libre Dames,Séries,23,RENAULT Lilou,2005,FRA,F,C.N OZOIR-LA-FERRIERE,01:05.62,23/01/2022,923,117
100 Nage Libre Dames,Séries,24,FORE Valentine,2007,FRA,F,AMIENS METROPOLE NAT.,01:05.79,23/01/2022,917,117
100 Nage Libre Dames,Séries,25,FOURNIER DEWILDE Maud,2008,FRA,F,P.V GRANDVILLIERS NATATION,01:07.41,23/01/2022,867,112
200 Nage Libre Dames,Finale A,1,BIENFAIT Victorine,2007,FRA,F,RACING CLUB ARRAS,02:17.09,22/01/2022,1022,350
200 Nage Libre Dames,Finale A,1,TEREBO Emma,1998,FRA,F,AMIENS METROPOLE NAT.,02:01.12,22/01/2022,1271,440
200 Nage Libre Dames,Finale A,2,HOSSI BURNIER Noémie,2006,FRA,F,AAS SARCELLES NATATION 95,02:18.56,22/01/2022,1001,343
200 Nage Libre Dames,Finale A,2,BURGY Manon,2005,FRA,F,AMIENS METROPOLE NAT.,02:05.72,22/01/2022,1196,411
200 Nage Libre Dames,Finale A,2,BURGY Manon,2005,FRA,F,AMIENS METROPOLE NAT.,02:05.72,22/01/2022,1196,411
200 Nage Libre Dames,Finale A,3,RENAULT Lilou,2005,FRA,F,C.N OZOIR-LA-FERRIERE,02:20.92,22/01/2022,966,332
200 Nage Libre Dames,Finale A,3,CLAUDIC-TCHA Maëllys,2006,FRA,F,ANGERS NATATION,02:06.42,22/01/2022,1185,407
200 Nage Libre Dames,Finale A,3,CLAUDIC-TCHA Maëllys,2006,FRA,F,ANGERS NATATION,02:06.42,22/01/2022,1185,407
200 Nage Libre Dames,Finale A,4,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,02:07.94,22/01/2022,1161,398
200 Nage Libre Dames,Finale A,4,HASANI Lorita,2007,FRA,F,AAS SARCELLES NATATION 95,02:22.70,22/01/2022,941,324
200 Nage Libre Dames,Finale A,4,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,02:07.94,22/01/2022,1161,398
200 Nage Libre Dames,Finale A,4,ETIENNE Alice,2007,FRA,F,ANGERS NATATION,02:22.70,22/01/2022,941,324
200 Nage Libre Dames,Finale A,5,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,02:08.39,22/01/2022,1154,396
200 Nage Libre Dames,Finale A,5,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,02:08.39,22/01/2022,1154,396
200 Nage Libre Dames,Finale A,6,VERDIER Lisa,2006,FRA,F,MARCQ NATATION,02:17.54,22/01/2022,1015,348
200 Nage Libre Dames,Finale A,6,FORE Valentine,2007,FRA,F,AMIENS METROPOLE NAT.,02:23.51,22/01/2022,930,321
200 Nage Libre Dames,Finale A,7,DUBOIS Clemence,2005,FRA,F,MARCQ NATATION,02:26.33,22/01/2022,891,309
200 Nage Libre Dames,Finale A,7,LECHEVALIER Jeanne,2009,FRA,F,AMIENS METROPOLE NAT.,02:17.57,22/01/2022,1015,348
200 Nage Libre Dames,Finale A,8,MORICELLY Clara,2006,FRA,F,C.N OZOIR-LA-FERRIERE,02:20.43,22/01/2022,973,334
200 Nage Libre Dames,Finale B,1,AIGOUY Léa,2004,FRA,F,CANETON CLUB DE BEAUMONT,02:21.10,22/01/2022,964,331
200 Nage Libre Dames,Finale B,2,FRANCOIS Clémence,2003,FRA,F,AAS SARCELLES NATATION 95,02:28.49,22/01/2022,861,300
200 Nage Libre Dames,Séries,1,TEREBO Emma,1998,FRA,F,AMIENS METROPOLE NAT.,02:02.57,22/01/2022,1247,431
200 Nage Libre Dames,Séries,2,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,02:07.81,22/01/2022,1163,399
200 Nage Libre Dames,Séries,2,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,02:07.81,22/01/2022,1163,399
200 Nage Libre Dames,Séries,3,BURGY Manon,2005,FRA,F,AMIENS METROPOLE NAT.,02:07.94,22/01/2022,1161,398
200 Nage Libre Dames,Séries,3,BURGY Manon,2005,FRA,F,AMIENS METROPOLE NAT.,02:07.94,22/01/2022,1161,398
200 Nage Libre Dames,Séries,4,CLAUDIC-TCHA Maëllys,2006,FRA,F,ANGERS NATATION,02:08.19,22/01/2022,1157,397
200 Nage Libre Dames,Séries,4,CLAUDIC-TCHA Maëllys,2006,FRA,F,ANGERS NATATION,02:08.19,22/01/2022,1157,397
200 Nage Libre Dames,Séries,5,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,02:10.13,22/01/2022,1127,386
200 Nage Libre Dames,Séries,5,HERMEL Lou,2005,FRA,F,AMIENS METROPOLE NAT.,02:10.13,22/01/2022,1127,386
200 Nage Libre Dames,Séries,6,VERDIER Lisa,2006,FRA,F,MARCQ NATATION,02:16.55,22/01/2022,1030,353
200 Nage Libre Dames,Séries,7,LECHEVALIER Jeanne,2009,FRA,F,AMIENS METROPOLE NAT.,02:19.26,22/01/2022,990,340
200 Nage Libre Dames,Séries,8,MORICELLY Clara,2006,FRA,F,C.N OZOIR-LA-FERRIERE,02:20.02,22/01/2022,979,336
200 Nage Libre Dames,Séries,9,HOSSI BURNIER Noémie,2006,FRA,F,AAS SARCELLES NATATION 95,02:20.06,22/01/2022,979,336
200 Nage Libre Dames,Séries,10,RENAULT Lilou,2005,FRA,F,C.N OZOIR-LA-FERRIERE,02:21.08,22/01/2022,964,331
200 Nage Libre Dames,Séries,11,AIGOUY Léa,2004,FRA,F,CANETON CLUB DE BEAUMONT,02:22.59,22/01/2022,943,325
200 Nage Libre Dames,Séries,12,BIENFAIT Victorine,2007,FRA,F,RACING CLUB ARRAS,02:22.70,22/01/2022,941,324
200 Nage Libre Dames,Séries,13,ETIENNE Alice,2007,FRA,F,ANGERS NATATION,02:24.37,22/01/2022,918,317
200 Nage Libre Dames,Séries,14,HASANI Lorita,2007,FRA,F,AAS SARCELLES NATATION 95,02:26.07,22/01/2022,894,310
200 Nage Libre Dames,Séries,15,FRANCOIS Clémence,2003,FRA,F,AAS SARCELLES NATATION 95,02:26.72,22/01/2022,885,307
200 Nage Libre Dames,Séries,16,FORE Valentine,2007,FRA,F,AMIENS METROPOLE NAT.,02:27.10,22/01/2022,880,306
200 Nage Libre Dames,Séries,17,DUBOIS Clemence,2005,FRA,F,MARCQ NATATION,02:27.61,22/01/2022,873,304
400 Nage Libre Dames,Finale A,1,HASANI Lorita,2007,FRA,F,AAS SARCELLES NATATION 95,04:54.91,21/01/2022,967,481
400 Nage Libre Dames,Finale A,1,CLAUDIC-TCHA Maëllys,2006,FRA,F,ANGERS NATATION,04:24.76,21/01/2022,1192,591
400 Nage Libre Dames,Finale A,1,CLAUDIC-TCHA Maëllys,2006,FRA,F,ANGERS NATATION,04:24.76,21/01/2022,1192,591
400 Nage Libre Dames,Finale A,2,MORICELLY Clara,2006,FRA,F,C.N OZOIR-LA-FERRIERE,04:57.23,21/01/2022,951,474
400 Nage Libre Dames,Finale A,2,CARLOS-BROC Zoé,2006,FRA,F,ES MASSY NATATION,04:28.03,21/01/2022,1167,578
400 Nage Libre Dames,Finale A,2,CARLOS-BROC Zoé,2006,FRA,F,ES MASSY NATATION,04:28.03,21/01/2022,1167,578
400 Nage Libre Dames,Finale A,3,BURGY Manon,2005,FRA,F,AMIENS METROPOLE NAT.,04:28.44,21/01/2022,1163,576
400 Nage Libre Dames,Finale A,3,FORE Valentine,2007,FRA,F,AMIENS METROPOLE NAT.,05:11.27,21/01/2022,855,339
400 Nage Libre Dames,Finale A,3,BURGY Manon,2005,FRA,F,AMIENS METROPOLE NAT.,04:28.44,21/01/2022,1163,576
400 Nage Libre Dames,Finale A,4,FREULON Lillie,2006,FRA,F,DUMBEA NATATION,04:43.75,21/01/2022,1048,518
400 Nage Libre Dames,Finale A,5,VERDIER Lisa,2006,FRA,F,MARCQ NATATION,04:49.51,21/01/2022,1006,499
400 Nage Libre Dames,Finale A,6,HOSSI BURNIER Noémie,2006,FRA,F,AAS SARCELLES NATATION 95,04:52.57,21/01/2022,984,489
400 Nage Libre Dames,Finale A,7,RENAULT Lilou,2005,FRA,F,C.N OZOIR-LA-FERRIERE,04:54.56,21/01/2022,969,482
400 Nage Libre Dames,Finale A,8,STALS Aurore,2005,BEL,F,ARDENNES RIVES DE MEUSE NATATION,05:05.78,21/01/2022,891,350
400 Nage Libre Dames,Finale B,1,FRANCOIS Clémence,2003,FRA,F,AAS SARCELLES NATATION 95,05:10.40,21/01/2022,860,341
400 Nage Libre Dames,Séries,1,CLAUDIC-TCHA Maëllys,2006,FRA,F,ANGERS NATATION,04:27.08,21/01/2022,1174,581
400 Nage Libre Dames,Séries,1,CLAUDIC-TCHA Maëllys,2006,FRA,F,ANGERS NATATION,04:27.08,21/01/2022,1174,581
400 Nage Libre Dames,Séries,2,CARLOS-BROC Zoé,2006,FRA,F,ES MASSY NATATION,04:32.42,21/01/2022,1133,560
400 Nage Libre Dames,Séries,2,CARLOS-BROC Zoé,2006,FRA,F,ES MASSY NATATION,04:32.42,21/01/2022,1133,560
400 Nage Libre Dames,Séries,3,BURGY Manon,2005,FRA,F,AMIENS METROPOLE NAT.,04:35.60,21/01/2022,1108,548
400 Nage Libre Dames,Séries,3,BURGY Manon,2005,FRA,F,AMIENS METROPOLE NAT.,04:35.60,21/01/2022,1108,548
400 Nage Libre Dames,Séries,4,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,04:35.82,21/01/2022,1107,547
400 Nage Libre Dames,Séries,4,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,04:35.82,21/01/2022,1107,547
400 Nage Libre Dames,Séries,5,FREULON Lillie,2006,FRA,F,DUMBEA NATATION,04:42.92,21/01/2022,1054,521
400 Nage Libre Dames,Séries,6,VERDIER Lisa,2006,FRA,F,MARCQ NATATION,04:50.58,21/01/2022,998,495
400 Nage Libre Dames,Séries,7,HOSSI BURNIER Noémie,2006,FRA,F,AAS SARCELLES NATATION 95,04:52.45,21/01/2022,984,489
400 Nage Libre Dames,Séries,8,RENAULT Lilou,2005,FRA,F,C.N OZOIR-LA-FERRIERE,04:55.92,21/01/2022,960,478
400 Nage Libre Dames,Séries,9,STALS Aurore,2005,BEL,F,ARDENNES RIVES DE MEUSE NATATION,04:56.27,21/01/2022,957,477
400 Nage Libre Dames,Séries,10,MORICELLY Clara,2006,FRA,F,C.N OZOIR-LA-FERRIERE,04:58.08,21/01/2022,945,471
400 Nage Libre Dames,Séries,11,HASANI Lorita,2007,FRA,F,AAS SARCELLES NATATION 95,05:01.57,21/01/2022,920,359
400 Nage Libre Dames,Séries,12,FRANCOIS Clémence,2003,FRA,F,AAS SARCELLES NATATION 95,05:07.17,21/01/2022,882,347
400 Nage Libre Dames,Séries,13,FORE Valentine,2007,FRA,F,AMIENS METROPOLE NAT.,05:13.43,21/01/2022,840,335
800 Nage Libre Dames,Séries,1,CLAUDIC-TCHA Maëllys,2006,FRA,F,ANGERS NATATION,09:08.44,22/01/2022,1168,695
800 Nage Libre Dames,Séries,1,CLAUDIC-TCHA Maëllys,2006,FRA,F,ANGERS NATATION,09:08.44,22/01/2022,1168,695
800 Nage Libre Dames,Séries,2,MOUGE Clara,2005,FRA,F,EN LOUVIERS,09:46.12,22/01/2022,1026,615
800 Nage Libre Dames,Séries,3,VERDIER Lisa,2006,FRA,F,MARCQ NATATION,09:51.50,22/01/2022,1006,605
800 Nage Libre Dames,Séries,4,RENAULT Lilou,2005,FRA,F,C.N OZOIR-LA-FERRIERE,09:59.93,22/01/2022,976,589
800 Nage Libre Dames,Séries,5,HOSSI BURNIER Noémie,2006,FRA,F,AAS SARCELLES NATATION 95,10:05.49,22/01/2022,956,513
800 Nage Libre Dames,Séries,6,STALS Aurore,2005,BEL,F,ARDENNES RIVES DE MEUSE NATATION,10:13.22,22/01/2022,929,501
800 Nage Libre Dames,Séries,7,FRANCOIS Clémence,2003,FRA,F,AAS SARCELLES NATATION 95,10:34.16,22/01/2022,858,471
1500 Nage Libre Dames,Séries,1,MOUGE Clara,2005,FRA,F,EN LOUVIERS,18:54.64,23/01/2022,1025,551
1500 Nage Libre Dames,Séries,2,STALS Aurore,2005,BEL,F,ARDENNES RIVES DE MEUSE NATATION,19:24.93,23/01/2022,969,493
1500 Nage Libre Dames,Séries,3,FRANCOIS Clémence,2003,FRA,F,AAS SARCELLES NATATION 95,20:21.12,23/01/2022,869,426
1500 Nage Libre Dames,Séries,4,NORMAND Emilie,2006,FRA,F,DAUPHINS ST-OMER,20:24.62,23/01/2022,863,424
50 Dos Dames,Finale A,1,MOLUH Mary-Ambre,2005,FRA,F,U.S CRETEIL NATATION,00:28.20,22/01/2022,1291,876
50 Dos Dames,Finale A,2,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,00:30.01,22/01/2022,1187,727
50 Dos Dames,Finale A,2,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,00:30.01,22/01/2022,1187,727
50 Dos Dames,Finale A,3,DONVAL Eléane,2004,FRA,F,ANGERS NATATION,00:30.03,22/01/2022,1186,725
50 Dos Dames,Finale A,4,PRUVOT Mathilde,2005,FRA,F,AMIENS METROPOLE NAT.,00:30.62,22/01/2022,1153,684
50 Dos Dames,Finale A,5,DUROT Lea,2003,FRA,F,CN COURRIÈRES,00:32.09,22/01/2022,1072,594
50 Dos Dames,Finale A,6,TOUDICK Solene,2005,FRA,F,AMIENS METROPOLE NAT.,00:32.62,22/01/2022,1044,566
50 Dos Dames,Finale A,7,ETIENNE Alice,2007,FRA,F,ANGERS NATATION,00:33.04,22/01/2022,1022,545
50 Dos Dames,Finale A,8,MINCK CECONI Alizéa,1999,FRA,F,STADE DE REIMS NATATION,00:33.75,22/01/2022,985,511
